board,type,title,subject,grade,link
balochistan,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
balochistan,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
balochistan,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
balochistan,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
balochistan,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
balochistan,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
balochistan,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
balochistan,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
balochistan,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
balochistan,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
balochistan,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
balochistan,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
balochistan,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
balochistan,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
balochistan,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Physics — Class 9 (BTBB),Physics,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Physics — Class 10 (BTBB),Physics,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Physics — 1st Year (BTBB),Physics,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Physics — 2nd Year (BTBB),Physics,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Chemistry — Class 9 (BTBB),Chemistry,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Chemistry — Class 10 (BTBB),Chemistry,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Chemistry — 1st Year (BTBB),Chemistry,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Chemistry — 2nd Year (BTBB),Chemistry,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Biology — Class 9 (BTBB),Biology,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Biology — Class 10 (BTBB),Biology,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Biology — 1st Year (BTBB),Biology,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Biology — 2nd Year (BTBB),Biology,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Mathematics — Class 9 (BTBB),Mathematics,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Mathematics — Class 10 (BTBB),Mathematics,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Mathematics — 1st Year (BTBB),Mathematics,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Mathematics — 2nd Year (BTBB),Mathematics,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Computer Science — Class 9 (BTBB),Computer Science,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Computer Science — Class 10 (BTBB),Computer Science,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Computer Science — 1st Year (BTBB),Computer Science,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Computer Science — 2nd Year (BTBB),Computer Science,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,English — Class 9 (BTBB),English,Class 9,https://drive.google.com/your-link
balochistan,textbooks,English — Class 10 (BTBB),English,Class 10,https://drive.google.com/your-link
balochistan,textbooks,English — 1st Year (BTBB),English,1st Year,https://drive.google.com/your-link
balochistan,textbooks,English — 2nd Year (BTBB),English,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Urdu — Class 9 (BTBB),Urdu,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Urdu — Class 10 (BTBB),Urdu,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Urdu — 1st Year (BTBB),Urdu,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Urdu — 2nd Year (BTBB),Urdu,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Islamiat — Class 9 (BTBB),Islamiat,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Islamiat — Class 10 (BTBB),Islamiat,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Islamiat — 1st Year (BTBB),Islamiat,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Islamiat — 2nd Year (BTBB),Islamiat,2nd Year,https://drive.google.com/your-link
balochistan,textbooks,Pakistan Studies — Class 9 (BTBB),Pakistan Studies,Class 9,https://drive.google.com/your-link
balochistan,textbooks,Pakistan Studies — Class 10 (BTBB),Pakistan Studies,Class 10,https://drive.google.com/your-link
balochistan,textbooks,Pakistan Studies — 1st Year (BTBB),Pakistan Studies,1st Year,https://drive.google.com/your-link
balochistan,textbooks,Pakistan Studies — 2nd Year (BTBB),Pakistan Studies,2nd Year,https://drive.google.com/your-link
balochistan,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
balochistan,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
sindh,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
sindh,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
sindh,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
sindh,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
sindh,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
sindh,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
sindh,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
sindh,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
sindh,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
sindh,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
sindh,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
sindh,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
sindh,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
sindh,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
sindh,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
sindh,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
sindh,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
sindh,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
sindh,textbooks,Physics — Class 9 (STBB),Physics,Class 9,https://drive.google.com/your-link
sindh,textbooks,Physics — Class 10 (STBB),Physics,Class 10,https://drive.google.com/your-link
sindh,textbooks,Physics — 1st Year (STBB),Physics,1st Year,https://drive.google.com/your-link
sindh,textbooks,Physics — 2nd Year (STBB),Physics,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Chemistry — Class 9 (STBB),Chemistry,Class 9,https://drive.google.com/your-link
sindh,textbooks,Chemistry — Class 10 (STBB),Chemistry,Class 10,https://drive.google.com/your-link
sindh,textbooks,Chemistry — 1st Year (STBB),Chemistry,1st Year,https://drive.google.com/your-link
sindh,textbooks,Chemistry — 2nd Year (STBB),Chemistry,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Biology — Class 9 (STBB),Biology,Class 9,https://drive.google.com/your-link
sindh,textbooks,Biology — Class 10 (STBB),Biology,Class 10,https://drive.google.com/your-link
sindh,textbooks,Biology — 1st Year (STBB),Biology,1st Year,https://drive.google.com/your-link
sindh,textbooks,Biology — 2nd Year (STBB),Biology,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Mathematics — Class 9 (STBB),Mathematics,Class 9,https://drive.google.com/your-link
sindh,textbooks,Mathematics — Class 10 (STBB),Mathematics,Class 10,https://drive.google.com/your-link
sindh,textbooks,Mathematics — 1st Year (STBB),Mathematics,1st Year,https://drive.google.com/your-link
sindh,textbooks,Mathematics — 2nd Year (STBB),Mathematics,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Computer Science — Class 9 (STBB),Computer Science,Class 9,https://drive.google.com/your-link
sindh,textbooks,Computer Science — Class 10 (STBB),Computer Science,Class 10,https://drive.google.com/your-link
sindh,textbooks,Computer Science — 1st Year (STBB),Computer Science,1st Year,https://drive.google.com/your-link
sindh,textbooks,Computer Science — 2nd Year (STBB),Computer Science,2nd Year,https://drive.google.com/your-link
sindh,textbooks,English — Class 9 (STBB),English,Class 9,https://drive.google.com/your-link
sindh,textbooks,English — Class 10 (STBB),English,Class 10,https://drive.google.com/your-link
sindh,textbooks,English — 1st Year (STBB),English,1st Year,https://drive.google.com/your-link
sindh,textbooks,English — 2nd Year (STBB),English,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Urdu — Class 9 (STBB),Urdu,Class 9,https://drive.google.com/your-link
sindh,textbooks,Urdu — Class 10 (STBB),Urdu,Class 10,https://drive.google.com/your-link
sindh,textbooks,Urdu — 1st Year (STBB),Urdu,1st Year,https://drive.google.com/your-link
sindh,textbooks,Urdu — 2nd Year (STBB),Urdu,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Islamiat — Class 9 (STBB),Islamiat,Class 9,https://drive.google.com/your-link
sindh,textbooks,Islamiat — Class 10 (STBB),Islamiat,Class 10,https://drive.google.com/your-link
sindh,textbooks,Islamiat — 1st Year (STBB),Islamiat,1st Year,https://drive.google.com/your-link
sindh,textbooks,Islamiat — 2nd Year (STBB),Islamiat,2nd Year,https://drive.google.com/your-link
sindh,textbooks,Pakistan Studies — Class 9 (STBB),Pakistan Studies,Class 9,https://drive.google.com/your-link
sindh,textbooks,Pakistan Studies — Class 10 (STBB),Pakistan Studies,Class 10,https://drive.google.com/your-link
sindh,textbooks,Pakistan Studies — 1st Year (STBB),Pakistan Studies,1st Year,https://drive.google.com/your-link
sindh,textbooks,Pakistan Studies — 2nd Year (STBB),Pakistan Studies,2nd Year,https://drive.google.com/your-link
sindh,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
sindh,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
sindh,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
punjab,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
punjab,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
punjab,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
punjab,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
punjab,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
punjab,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
punjab,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
punjab,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
punjab,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
punjab,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
punjab,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
punjab,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
punjab,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
punjab,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
punjab,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
punjab,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
punjab,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
punjab,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
punjab,textbooks,Physics — Class 9 (PCTB),Physics,Class 9,https://drive.google.com/your-link
punjab,textbooks,Physics — Class 10 (PCTB),Physics,Class 10,https://drive.google.com/your-link
punjab,textbooks,Physics — 1st Year (PCTB),Physics,1st Year,https://drive.google.com/your-link
punjab,textbooks,Physics — 2nd Year (PCTB),Physics,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Chemistry — Class 9 (PCTB),Chemistry,Class 9,https://drive.google.com/your-link
punjab,textbooks,Chemistry — Class 10 (PCTB),Chemistry,Class 10,https://drive.google.com/your-link
punjab,textbooks,Chemistry — 1st Year (PCTB),Chemistry,1st Year,https://drive.google.com/your-link
punjab,textbooks,Chemistry — 2nd Year (PCTB),Chemistry,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Biology — Class 9 (PCTB),Biology,Class 9,https://drive.google.com/your-link
punjab,textbooks,Biology — Class 10 (PCTB),Biology,Class 10,https://drive.google.com/your-link
punjab,textbooks,Biology — 1st Year (PCTB),Biology,1st Year,https://drive.google.com/your-link
punjab,textbooks,Biology — 2nd Year (PCTB),Biology,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Mathematics — Class 9 (PCTB),Mathematics,Class 9,https://drive.google.com/your-link
punjab,textbooks,Mathematics — Class 10 (PCTB),Mathematics,Class 10,https://drive.google.com/your-link
punjab,textbooks,Mathematics — 1st Year (PCTB),Mathematics,1st Year,https://drive.google.com/your-link
punjab,textbooks,Mathematics — 2nd Year (PCTB),Mathematics,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Computer Science — Class 9 (PCTB),Computer Science,Class 9,https://drive.google.com/your-link
punjab,textbooks,Computer Science — Class 10 (PCTB),Computer Science,Class 10,https://drive.google.com/your-link
punjab,textbooks,Computer Science — 1st Year (PCTB),Computer Science,1st Year,https://drive.google.com/your-link
punjab,textbooks,Computer Science — 2nd Year (PCTB),Computer Science,2nd Year,https://drive.google.com/your-link
punjab,textbooks,English — Class 9 (PCTB),English,Class 9,https://drive.google.com/your-link
punjab,textbooks,English — Class 10 (PCTB),English,Class 10,https://drive.google.com/your-link
punjab,textbooks,English — 1st Year (PCTB),English,1st Year,https://drive.google.com/your-link
punjab,textbooks,English — 2nd Year (PCTB),English,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Urdu — Class 9 (PCTB),Urdu,Class 9,https://drive.google.com/your-link
punjab,textbooks,Urdu — Class 10 (PCTB),Urdu,Class 10,https://drive.google.com/your-link
punjab,textbooks,Urdu — 1st Year (PCTB),Urdu,1st Year,https://drive.google.com/your-link
punjab,textbooks,Urdu — 2nd Year (PCTB),Urdu,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Islamiat — Class 9 (PCTB),Islamiat,Class 9,https://drive.google.com/your-link
punjab,textbooks,Islamiat — Class 10 (PCTB),Islamiat,Class 10,https://drive.google.com/your-link
punjab,textbooks,Islamiat — 1st Year (PCTB),Islamiat,1st Year,https://drive.google.com/your-link
punjab,textbooks,Islamiat — 2nd Year (PCTB),Islamiat,2nd Year,https://drive.google.com/your-link
punjab,textbooks,Pakistan Studies — Class 9 (PCTB),Pakistan Studies,Class 9,https://drive.google.com/your-link
punjab,textbooks,Pakistan Studies — Class 10 (PCTB),Pakistan Studies,Class 10,https://drive.google.com/your-link
punjab,textbooks,Pakistan Studies — 1st Year (PCTB),Pakistan Studies,1st Year,https://drive.google.com/your-link
punjab,textbooks,Pakistan Studies — 2nd Year (PCTB),Pakistan Studies,2nd Year,https://drive.google.com/your-link
punjab,pastpapers,Physics Past Paper 2025,Physics,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Chemistry Past Paper 2025,Chemistry,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Biology Past Paper 2025,Biology,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Mathematics Past Paper 2025,Mathematics,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Computer Science Past Paper 2025,Computer Science,1st Year,https://drive.google.com/your-link
punjab,pastpapers,English Past Paper 2025,English,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Urdu Past Paper 2025,Urdu,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Islamiat Past Paper 2025,Islamiat,1st Year,https://drive.google.com/your-link
punjab,pastpapers,Pakistan Studies Past Paper 2025,Pakistan Studies,1st Year,https://drive.google.com/your-link
kpk,notes,Physics — Chapter 1,Physics,1st Year,https://drive.google.com/your-link
kpk,notes,Physics — Chapter 2,Physics,1st Year,https://drive.google.com/your-link
kpk,notes,Chemistry — Chapter 1,Chemistry,1st Year,https://drive.google.com/your-link
kpk,notes,Chemistry — Chapter 2,Chemistry,1st Year,https://drive.google.com/your-link
kpk,notes,Biology — Chapter 1,Biology,1st Year,https://drive.google.com/your-link
kpk,notes,Biology — Chapter 2,Biology,1st Year,https://drive.google.com/your-link
kpk,notes,Mathematics — Chapter 1,Mathematics,1st Year,https://drive.google.com/your-link
kpk,notes,Mathematics — Chapter 2,Mathematics,1st Year,https://drive.google.com/your-link
kpk,notes,Computer Science — Chapter 1,Computer Science,1st Year,https://drive.google.com/your-link
kpk,notes,Computer Science — Chapter 2,Computer Science,1st Year,https://drive.google.com/your-link
kpk,notes,English — Chapter 1,English,1st Year,https://drive.google.com/your-link
kpk,notes,English — Chapter 2,English,1st Year,https://drive.google.com/your-link
kpk,notes,Urdu — Chapter 1,Urdu,1st Year,https://drive.google.com/your-link
kpk,notes,Urdu — Chapter 2,Urdu,1st Year,https://drive.google.com/your-link
kpk,notes,Islamiat — Chapter 1,Islamiat,1st Year,https://drive.google.com/your-link
kpk,notes,Islamiat — Chapter 2,Islamiat,1st Year,https://drive.google.com/your-link
kpk,notes,Pakistan Studies — Chapter 1,Pakistan Studies,1st Year,https://drive.google.com/your-link
kpk,notes,Pakistan Studies — Chapter 2,Pakistan Studies,1st Year,https://drive.google.com/your-link
kpk,textbooks,Physics — Class 9 (KPTB),Physics,Class 9,https://drive.google.com/your-link
kpk,textbooks,Physics — Class 10 (KPTB),Physics,Class 10,https://drive.google.com/your-link
kpk,textbooks,Physics — 1st Year (KPTB),Physics,1st Year,https://drive.google.com/your-link
kpk,textbooks,Physics — 2nd Year (KPTB),Physics,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Chemistry — Class 9 (KPTB),Chemistry,Class 9,https://drive.google.com/your-link
kpk,textbooks,Chemistry — Class 10 (KPTB),Chemistry,Class 10,https://drive.google.com/your-link
kpk,textbooks,Chemistry — 1st Year (KPTB),Chemistry,1st Year,https://drive.google.com/your-link
kpk,textbooks,Chemistry — 2nd Year (KPTB),Chemistry,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Biology — Class 9 (KPTB),Biology,Class 9,https://drive.google.com/your-link
kpk,textbooks,Biology — Class 10 (KPTB),Biology,Class 10,https://drive.google.com/your-link
kpk,textbooks,Biology — 1st Year (KPTB),Biology,1st Year,https://drive.google.com/your-link
kpk,textbooks,Biology — 2nd Year (KPTB),Biology,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Mathematics — Class 9 (KPTB),Mathematics,Class 9,https://drive.google.com/your-link
kpk,textbooks,Mathematics — Class 10 (KPTB),Mathematics,Class 10,https://drive.google.com/your-link
kpk,textbooks,Mathematics — 1st Year (KPTB),Mathematics,1st Year,https://drive.google.com/your-link
kpk,textbooks,Mathematics — 2nd Year (KPTB),Mathematics,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Computer Science — Class 9 (KPTB),Computer Science,Class 9,https://drive.google.com/your-link
kpk,textbooks,Computer Science — Class 10 (KPTB),Computer Science,Class 10,https://drive.google.com/your-link
kpk,textbooks,Computer Science — 1st Year (KPTB),Computer Science,1st Year,https://drive.google.com/your-link
kpk,textbooks,Computer Science — 2nd Year (KPTB),Computer Science,2nd Year,https://drive.google.com/your-link
kpk,textbooks,English — Class 9 (KPTB),English,Class 9,https://drive.google.com/your-link
kpk,textbooks,English — Class 10 (KPTB),English,Class 10,https://drive.google.com/your-link
kpk,textbooks,English — 1st Year (KPTB),English,1st Year,https://drive.google.com/your-link
kpk,textbooks,English — 2nd Year (KPTB),English,2nd Year,https://drive.google.com/your-link
kpk,textbooks,Urdu — Class 9 (KPTB),Urdu,Class 9,https://drive.google.com/your-link
kpk,textbooks,Urdu — Class 10 (KPTB),Urdu,Class 10,https://drive.google.com/your-link
kpk,textbooks,Urdu — 1st Year (KPTB),Urdu,1st Year,https://drive.google.com/your-link
kpk,textbooks,Urdu — 2nd Year (KPTB),Urdu,2nd Year,https://drive.google.com/your-link
